Sector,Project name,Estimated Value,Procurement Strategy,Current Phase,Procurement Start Date (est.),Procurement End Date (est.),Construction Start Date (est.),Construction End Date (est.),Project Link,Source Lifecycle,Unnamed: 7
Transport,Sydney Metro West - Sydney Olympic Park Integrated Station,$$$$,D&C,Construction Procurement,Q2 2026,Q3 2026,Q2 2027,Q3 2029,https://www.sydneymetro.info/station/sydney-olympic-park-metro-station,Pipeline,
Transport,"The Horsley Drive, M7 Motorway to Cowpasture Road",$$,CO,Construction Procurement,Q2 2026,Q3 2026,Q4 2026,Q3 2028,https://roads-waterways.transport.nsw.gov.au/projects/the-horsley-drive-upgrade/index.html,Pipeline,
Transport,Western Sydney Heavy Vehicle Rest Area,$,TBA,Design,Q1 2027,Q3 2027,Q4 2027,Q3 2028,https://www.transport.nsw.gov.au/operations/freight-hub/heavy-vehicle-rest-stopping-improvements,Pipeline,
Transport,New Electric Bus Program,$$$$$,CO,Rolling Program,Ongoing,Ongoing,Ongoing,Ongoing,https://www.transport.nsw.gov.au/projects/current-projects/zero-emission-buses,Pipeline,
Transport,"Mandalong Road upgrade, Morisset",$,CO,Design,Q1 2027,Q2 2027,Q3 2027,Q1 2030,https://www.transport.nsw.gov.au/projects/current-projects/mandalong-road-upgrade-morisset,Pipeline,
Transport,"Goonoo Goonoo Road widening, Tamworth",$,TBA,Design,Q1 2027,Q3 2028,Q1 2029,Q4 2030,https://www.transport.nsw.gov.au/projects/current-projects/goonoo-goonoo-road-tamworth,Pipeline,
Transport,Windsor Road Upgrade at Rouse Hill,$$$,CD&C,Design,Q4 2026,Q3 2027,Q4 2027,Q4 2029,https://www.transport.nsw.gov.au/,Pipeline,
Transport,New Bus Services for Western Sydney,$$$,Various,Design,Q1 2027,Q2 2027,Q3 2027,Q2 2028,https://www.transport.nsw.gov.au/projects/current-projects/new-bus-services-for-western-sydney,Pipeline,
Transport,Parramatta Light Rail Stage 2 Main Works,$$$$$,D&C,Construction Procurement,Q2 2026,Q4 2026,Q1 2027,Q4 2035,https://www.nsw.gov.au/driving-boating-and-transport/projects/parramatta-light-rail/stage-2,Pipeline,
Transport,Almond Street to M1 Princes Motorway,TBA,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/picton-road-projects/picton-road-upgrade/index.html,In Planning,
Transport,Appin Town Centre By-Pass,$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,In Planning,
Transport,Avoca Drive upgrade Kincumber,$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/avoca-drive-upgrade-at-kincumber,In Planning,
Transport,Barton Highway upgrade - Stage 2,$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/barton-highway-corridor-upgrade-stage-2-barton-highway,In Planning,
Transport,Bells Line of Road safety improvements,$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bells-line-of-road-safety-improvements,In Planning,
Transport,Bradfield Metro Link Road - Badgery's Creek Road to Proposed Eastern Ring Road,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bradfield-precinct-priority-roads,In Planning,
Transport,Bulli Bypass,TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bulli-bypass,In Planning,
Transport,Burdekin Road and Townson Road upgrade,$$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/townson-burdekin-road.html,In Planning,
Transport,Bus Service Improvement Program,$$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Cambridge Avenue upgrade,$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/cambridge-avenue-glenfield-upgrade,In Planning,
Transport,Camden Valley Way,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,In Planning,
Transport,Campbelltown Road,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,In Planning,
Transport,Castlereagh Connection,$$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Central Precinct Renewal Program - Main Works,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/central-precinct-renewal-program,In Planning,
Transport,Circular Quay renewal,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Cowpasture Road,$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Dapto Ramps,TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-facing-ramps-at-dapto,In Planning,
Transport,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Devonshire Road - Elizabeth Drive to Bringelly Road,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,$$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Future Fleet Program,$$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Garfield Road Central,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/garfield-road-central,In Planning,
Transport,Garfield Road Upgrade West,$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/garfield-road.html,In Planning,
Transport,Glebe Island Bridge,$$,,,,,,,https://www.transport.nsw.gov.au/gib,In Planning,
Transport,Gosford Bypass,TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/gosford-bypass,In Planning,
Transport,"Great Western Hwy and Parker St Intersection upgrade, Penrith",TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Hawkesbury-Nepean Valley Road Resilience Program,$$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/flood-resilience-program/index.html,In Planning,
Transport,"Heathcote Road, The Avenue to Princes Highway",$$$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/heathcote-road-upgrade/index.html,In Planning,
Transport,Hume Motorway,$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,In Planning,
Transport,James Ruse Drive/Hassall Street,$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Jervis Bay Road to Hawken Road,$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/princes-highway/jervis-bay-road-to-sussex-inlet-upgrade.html,In Planning,
Transport,"John Renshaw Drive upgrade, Black Hill",$$$,,,,,,,https://investment.infrastructure.gov.au/projects/117864-21nsw-np,In Planning,
Transport,Maitland Westbound Overpass,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,"Manns Road Upgrade, Stockyard Place to Narara Creek Road priority intersection upgrades",$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/west-gosford-to-narara/index.html,In Planning,
Transport,Menangle Road,$$$$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/menangle-road-upgrade,In Planning,
Transport,Milton/Ulladulla Bypass,$$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/milton-ulladulla-bypass/index.html,In Planning,
Transport,Mount Ousley Safety and Reliability,TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/mount-ousley-safety-and-reliability-improvements,In Planning,
Transport,Narooma Bridge,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Nelson Bay Road Improvements,$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/nelson-bay-road/index.html,In Planning,
Transport,Nepean River to Almond Street,$$$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/picton-road-projects/picton-road-upgrade/index.html,In Planning,
Transport,Newcastle Link Road/Minmi Road intersection upgrade,$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",$$,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/newell-highway/west-wyalong-flood-immunity.html,In Planning,
Transport,"Newell Highway, Tichborne grade separation for Inland Rail",TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/tichborne-grade-separation,In Planning,
Transport,Nowra Bypass,TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/nowra-bypass-and-transport-improvements,In Planning,
Transport,"Olympic Highway, Harris Gates grade separation for Inland Rail",TBA,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/harris-gates-grade-separation,In Planning,
Transport,"Pacific Highway, Raymond Terrace to Karuah intersection improvements",TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
