page_number,page_width,page_height,shape_type,x0,x1,top,bottom,width,height,is_filled,is_stroked,fill_color_rgb,fill_color_hex,stroke_color_rgb,is_timeline_candidate
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,581.7931149586187,582.8084602603125,76.1508976270458,1.015345301693742,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,613.2688193111311,614.2841646128248,76.1508976270458,1.015345301693742,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,644.7445236636435,645.7598689653372,76.1508976270458,1.015345301693742,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,676.2202280161558,677.2355733178496,76.1508976270458,1.015345301693742,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,707.6959323686682,708.7112776703619,76.1508976270458,1.015345301693742,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,739.1716367211797,740.1869820228743,76.1508976270458,1.0153453016946514,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,770.647341073692,771.6626863753867,76.1508976270458,1.0153453016946514,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,802.1230454262044,803.1383907278981,76.1508976270458,1.015345301693742,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,47.721486267604064,78.18184531842269,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,79.19719062011643,109.65754967093505,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,110.6728949726288,141.13325402344742,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,142.14859932514116,172.60895837595888,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,173.62430367765353,204.08466272847124,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,205.1000080301659,235.5603670809836,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,236.57571238267735,267.036071433496,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,268.0514167351897,298.51177578600834,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,299.5271210877021,329.9874801385207,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,331.00282544021445,361.4631844910331,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,362.4785297927268,392.93888884354544,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,393.9542341452392,424.4145931960578,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,425.42993849775155,455.89029754856927,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,456.9056428502639,487.36600190108163,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,488.3813472027763,518.841706253594,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,519.8570515552877,550.3174106061064,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,551.3327559078001,581.7931149586187,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,582.8084602603125,613.2688193111311,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,614.2841646128248,644.7445236636435,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,645.7598689653372,676.2202280161558,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,677.2355733178496,707.6959323686682,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,708.7112776703619,739.1716367211797,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,740.1869820228743,770.647341073692,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,771.6626863753867,802.1230454262044,76.1508976270458,30.460359050817715,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,rect,16.245524827103104,92.3964224541489,803.1383907278981,833.5987497787168,76.1508976270458,30.460359050818624,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
7,594.95996,841.91998,curve,162.9629236098779,186.82353819968557,58.89046554623053,67.01322795978206,23.860614589807682,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,59.41058872455869,66.8733772296091,23.860614589807682,7.462788505050412,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,59.41058872455869,66.8733772296091,23.860614589807682,7.462788505050412,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,188.8542257310736,290.388755900468,58.89046554623053,67.01322795978206,101.53453016939443,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,188.34655375222658,289.881083921621,59.41058872455869,66.8733772296091,101.5345301693944,7.462788505050412,True,False,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",True
7,594.95996,841.91998,curve,188.34655375222658,289.881083921621,59.41058872455869,66.8733772296091,101.5345301693944,7.462788505050412,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,163.21675993530138,212.46100706745767,90.36608983474605,98.23501592287414,49.24424713215629,7.868926088128092,True,False,"0.9529, 0.6824, 0.6392",#F3AEA3,"0.9529, 0.6824, 0.6392",True
7,594.95996,841.91998,curve,162.9629236098779,212.71484339288114,90.88621301307433,98.34900151812474,49.751919783003245,7.462788505050412,True,False,"0.9529, 0.6824, 0.6392",#F3AEA3,"0.9529, 0.6824, 0.6392",True
7,594.95996,841.91998,curve,162.9629236098779,212.71484339288114,90.88621301307433,98.34900151812474,49.751919783003245,7.462788505050412,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,240.636829973465,419.8452757224461,90.36608983474605,98.48885224829758,179.2084457489811,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,240.1291603946179,419.33760614359903,90.88621301307433,98.34900151812474,179.20844574898112,7.462788505050412,True,False,"0.6118, 0.6157, 0.7725",#9C9DC5,"0.6118, 0.6157, 0.7725",True
7,594.95996,841.91998,curve,240.1291603946179,419.33760614359903,90.88621301307433,98.34900151812474,179.20844574898112,7.462788505050412,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,162.9629236098779,212.71484339288114,121.84171412326168,129.9644765368132,49.751919783003245,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.4552516310309,212.20717141403415,122.36230530157036,129.82509380662077,49.751919783003245,7.462788505050412,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
7,594.95996,841.91998,curve,162.4552516310309,212.20717141403415,122.36230530157036,129.82509380662077,49.751919783003245,7.462788505050412,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,214.74552785226928,575.1931099536193,121.84171412326168,129.9644765368132,360.44758210135006,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,214.2378414734229,574.685423574773,122.36230530157036,129.82509380662077,360.4475821013501,7.462788505050412,True,False,"0.6118, 0.6157, 0.7725",#9C9DC5,"0.6118, 0.6157, 0.7725",True
7,594.95996,841.91998,curve,214.2378414734229,574.685423574773,122.36230530157036,129.82509380662077,360.4475821013501,7.462788505050412,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,163.21675993530138,367.8088382266311,153.57117473720075,161.1862644999054,204.59207829132973,7.615089762704656,True,False,"0.1255, 0.6588, 0.8824",#20A8E1,"0.1255, 0.6588, 0.8824",True
7,594.95996,841.91998,curve,163.21675993530138,367.8088382266311,153.57117473720075,161.1862644999054,204.59207829132973,7.615089762704656,False,True,"0.1255, 0.6588, 0.8824",#20A8E1,"0.1255, 0.6588, 0.8824",False
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,184.79296030029298,192.9157227138445,412.2301924877413,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,216.26905258878912,224.39181500234065,412.2301924877413,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,163.21675993530138,367.8088382266311,247.99851320272808,255.61360296543273,204.59207829132973,7.615089762704656,True,False,"0.1255, 0.6588, 0.8824",#20A8E1,"0.1255, 0.6588, 0.8824",True
7,594.95996,841.91998,curve,163.21675993530138,367.8088382266311,247.99851320272808,255.61360296543273,204.59207829132973,7.615089762704656,False,True,"0.1255, 0.6588, 0.8824",#20A8E1,"0.1255, 0.6588, 0.8824",False
7,594.95996,841.91998,curve,370.0933741794421,575.1931251216188,247.74467687730464,255.86743929085617,205.09975094217668,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,163.21675993530138,367.8088382266311,279.4741374912437,287.08922725394837,204.59207829132973,7.615089762704656,True,False,"0.1255, 0.6588, 0.8824",#20A8E1,"0.1255, 0.6588, 0.8824",True
7,594.95996,841.91998,curve,163.21675993530138,367.8088382266311,279.4741374912437,287.08922725394837,204.59207829132973,7.615089762704656,False,True,"0.1255, 0.6588, 0.8824",#20A8E1,"0.1255, 0.6588, 0.8824",False
7,594.95996,841.91998,curve,370.0933741794421,575.1931251216188,279.2203011658203,287.3430635793718,205.09975094217668,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,445.73659013164126,310.6959254543359,318.81868786788743,282.7736665217634,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,445.73659013164126,342.1715473428516,350.29430975640315,282.7736665217634,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,497.51920051803245,373.6476396313477,381.77040204489924,334.5562769081546,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,405.123271119863,413.2460335334145,412.2301924877413,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,186.82353819968557,436.598885808379,444.72164822193054,23.860614589807682,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,437.11898978670797,444.58177829175844,23.860614589807682,7.462788505050469,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,437.11898978670797,444.58177829175844,23.860614589807682,7.462788505050469,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,188.8542257310736,471.627892252837,436.598885808379,444.72164822193054,282.7736665217634,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,188.34655375222658,471.12022027398996,437.11898978670797,444.58177829175844,282.7736665217634,7.462788505050469,True,False,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",True
7,594.95996,841.91998,curve,188.34655375222658,471.12022027398996,437.11898978670797,444.58177829175844,282.7736665217634,7.462788505050469,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,162.9629236098779,212.71484339288114,468.074500496895,476.1972629104465,49.751919783003245,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.4552516310309,212.20717141403415,468.595084475204,476.05787298025444,49.751919783003245,7.462788505050469,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
7,594.95996,841.91998,curve,162.4552516310309,212.20717141403415,468.595084475204,476.05787298025444,49.751919783003245,7.462788505050469,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,214.74552785226928,575.1931099536193,468.074500496895,476.1972629104465,360.44758210135006,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,214.2378414734229,574.685423574773,468.595084475204,476.05787298025444,360.4475821013501,7.462788505050469,True,False,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",True
7,594.95996,841.91998,curve,214.2378414734229,574.685423574773,468.595084475204,476.05787298025444,360.4475821013501,7.462788505050469,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,499.55013918540993,507.67290159896146,412.2301924877413,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,186.82353819968557,531.025753873926,539.1485162874775,23.860614589807682,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,531.546361852234,539.0091503572844,23.860614589807682,7.462788505050469,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,531.546361852234,539.0091503572844,23.860614589807682,7.462788505050469,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,188.8542257310736,471.627892252837,531.025753873926,539.1485162874775,282.7736665217634,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,188.34655375222658,471.12022027398996,531.546361852234,539.0091503572844,282.7736665217634,7.462788505050469,True,False,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",True
7,594.95996,841.91998,curve,188.34655375222658,471.12022027398996,531.546361852234,539.0091503572844,282.7736665217634,7.462788505050469,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,562.501848562422,570.6246109759735,412.2301924877413,8.122762413551527,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,593.977487250937,602.1002496644885,412.2301924877413,8.122762413551555,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,625.4531019394531,633.5758643530046,412.2301924877413,8.122762413551555,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.9629236098779,186.82353819968557,656.928716627969,665.0514790415206,23.860614589807682,8.122762413551555,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,657.449324606277,664.9121131113275,23.860614589807682,7.462788505050469,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
7,594.95996,841.91998,curve,162.4552516310309,186.3158662208386,657.449324606277,664.9121131113275,23.860614589807682,7.462788505050469,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,188.8542257310736,497.5191974460326,656.928716627969,665.0514790415206,308.664971714959,8.122762413551555,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,188.34655375222658,497.0115254671856,657.449324606277,664.9121131113275,308.66497171495905,7.462788505050469,True,False,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",True
7,594.95996,841.91998,curve,188.34655375222658,497.0115254671856,657.449324606277,664.9121131113275,308.66497171495905,7.462788505050469,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,318.56457506247546,419.5914325810229,688.4043553164839,696.273281404612,101.02685751854744,7.868926088128063,True,False,"0.9529, 0.6824, 0.6392",#F3AEA3,"0.9529, 0.6824, 0.6392",True
7,594.95996,841.91998,curve,318.31073873705196,419.84526890644634,688.924963294792,696.3877517998424,101.53453016939437,7.462788505050469,True,False,"0.9529, 0.6824, 0.6392",#F3AEA3,"0.9529, 0.6824, 0.6392",True
7,594.95996,841.91998,curve,318.31073873705196,419.84526890644634,688.924963294792,696.3877517998424,101.53453016939437,7.462788505050469,False,True,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",False
7,594.95996,841.91998,curve,499.54989918542003,575.1931241616188,688.4043553164839,696.5271177300355,75.64322497619878,8.122762413551555,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
7,594.95996,841.91998,curve,499.04225120657196,574.6854761827708,688.924963294792,696.3877517998424,75.64322497619884,7.462788505050469,True,False,"0.6118, 0.6157, 0.7725",#9C9DC5,"0.6118, 0.6157, 0.7725",True
7,594.95996,841.91998,curve,499.04225120657196,574.6854761827708,688.924963294792,696.3877517998424,75.64322497619884,7.462788505050469,False,True,"0.0902, 0.1882, 0.4667",#173077,"0.0902, 0.1882, 0.4667",False
7,594.95996,841.91998,curve,162.9629236098779,575.1931160976192,719.879970005,728.0027324185515,412.2301924877413,8.122762413551555,True,False,"0.7647, 0.6667, 0.8235",#C3AAD2,"0.7647, 0.6667, 0.8235",True
