page_number,page_width,page_height,text,x0,x1,top,bottom
1,594.95996,841.91998,$$$$$$,16.245524827103104,43.199668785846555,474.6739285419188,481.27367300292946
1,594.95996,841.91998,Over,89.66768195584643,104.09192465146208,474.6739285419188,481.27367300292946
1,594.95996,841.91998,$1B,105.69441550675215,117.14774854413184,474.6739285419188,481.27367300292946
1,594.95996,841.91998,D&C,297.75000972174905,311.5455293629074,474.6739285419188,481.27367300292946
1,594.95996,841.91998,Design,371.1721668504924,392.3429997793153,474.6739285419188,481.27367300292946
1,594.95996,841.91998,&,393.9454946595309,398.6199701030351,474.6739285419188,481.27367300292946
1,594.95996,841.91998,construct,400.13583818773697,429.45022850112247,474.6739285419188,481.27367300292946
1,594.95996,841.91998,•,16.245524827103104,18.574409746937626,488.38109011478707,494.9808345757977
1,594.95996,841.91998,Rolling,89.66768195584643,111.21087362144274,488.38109011478707,494.9808345757977
1,594.95996,841.91998,program,112.81336714430606,138.9018176193506,488.38109011478707,494.9808345757977
1,594.95996,841.91998,with,140.46099851645818,153.61314393036932,488.38109011478707,494.9808345757977
1,594.95996,841.91998,ongoing,155.1290166823359,179.989525632204,488.38109011478707,494.9808345757977
1,594.95996,841.91998,procurement,181.5920191550673,221.17415401700123,488.38109011478707,494.9808345757977
1,594.95996,841.91998,and,222.7766376891605,234.17162270901557,488.38109011478707,494.9808345757977
1,594.95996,841.91998,delivery,235.68749318385488,260.16324112069543,488.38109011478707,494.9808345757977
1,594.95996,841.91998,D&C+,297.75000972174905,315.2063234079629,488.38109011478707,494.9808345757977
1,594.95996,841.91998,Disaggregated,371.1721668504924,416.42656116692973,488.38109011478707,494.9808345757977
1,594.95996,841.91998,design,417.9424316417691,438.47452942211527,488.38109011478707,494.9808345757977
1,594.95996,841.91998,and,440.07702430233087,451.4719938381701,488.38109011478707,494.9808345757977
1,594.95996,841.91998,construct,452.98786431300937,482.30225462639487,488.38109011478707,494.9808345757977
1,594.95996,841.91998,TBA,16.245524827103104,29.555548339485266,502.0882516876553,508.68799614866595
1,594.95996,841.91998,To,89.66768195584643,96.8567637441596,502.0882516876553,508.68799614866595
1,594.95996,841.91998,be,98.41594860401553,106.09350890517166,502.0882516876553,508.68799614866595
1,594.95996,841.91998,advised,107.65269214012862,131.21788486144166,502.0882516876553,508.68799614866595
1,594.95996,841.91998,FWK,297.75000972174905,312.5286906283081,502.0882516876553,508.68799614866595
1,594.95996,841.91998,Framework,371.1721668504924,405.6964324074026,502.0882516876553,508.68799614866595
1,594.95996,841.91998,ITC,297.75000972174905,308.0363243053626,515.7954132605234,522.3951577215341
1,594.95996,841.91998,Incentivised,371.1721668504924,407.9968526597245,515.7954132605234,522.3951577215341
1,594.95996,841.91998,target,409.5993441714073,428.42045935637435,515.7954132605234,522.3951577215341
1,594.95996,841.91998,cost,429.9363297590817,443.04176635857857,515.7954132605234,522.3951577215341
1,594.95996,841.91998,MC,297.75000972174905,308.1371756096785,529.5025748333917,536.1023192944024
1,594.95996,841.91998,Managing,371.1721668504924,401.78804727970964,529.5025748333917,536.1023192944024
1,594.95996,841.91998,contractor,403.30391976572946,435.1640485736059,529.5025748333917,536.1023192944024
1,594.95996,841.91998,PPP,297.75000972174905,310.3519076252443,542.7020637554131,549.3018082164238
1,594.95996,841.91998,Public-private,371.1721668504924,414.02374335496427,542.7020637554131,549.3018082164238
1,594.95996,841.91998,partnership,415.5829265899212,451.0250658061645,542.7020637554131,549.3018082164238
1,594.95996,841.91998,SIC,297.75000972174905,308.5637814670858,556.4092253282813,563.008969789292
1,594.95996,841.91998,System,371.1721668504924,394.29167425391853,556.4092253282813,563.008969789292
1,594.95996,841.91998,integration,395.8941656694479,429.24542392256865,556.4092253282813,563.008969789292
1,594.95996,841.91998,and,430.84791880278425,442.2428883386234,556.4092253282813,563.008969789292
1,594.95996,841.91998,commissioning,443.75875881346275,489.5293991729156,556.4092253282813,563.008969789292
1,594.95996,841.91998,TBA,297.75000972174905,310.742423294496,570.1163869011496,576.7161313621602
1,594.95996,841.91998,To,371.1721668504924,378.3612486388056,570.1163869011496,576.7161313621602
1,594.95996,841.91998,be,379.9204334986615,387.59799379981763,570.1163869011496,576.7161313621602
1,594.95996,841.91998,advised,389.1571770347745,412.7223697560875,570.1163869011496,576.7161313621602
1,594.95996,841.91998,Various,297.75000972174905,320.6500713642121,583.8235484740178,590.4232929350285
1,594.95996,841.91998,Mixture,371.1721668504924,394.8957339363037,583.8235484740178,590.4232929350285
1,594.95996,841.91998,of,396.3682961344171,402.5818531625863,583.8235484740178,590.4232929350285
1,594.95996,841.91998,delivery,404.0977238300109,428.57347176685147,583.8235484740178,590.4232929350285
1,594.95996,841.91998,types,430.15327747281475,447.24000076037873,583.8235484740178,590.4232929350285
1,594.95996,841.91998,Regional,16.245524827103104,52.899221140742554,658.4514281485227,667.5895358637682
1,594.95996,841.91998,and,54.66688457481027,70.2837717782925,658.4514281485227,667.5895358637682
1,594.95996,841.91998,Outer,72.05143482861742,95.99315194681834,658.4514281485227,667.5895358637682
1,594.95996,841.91998,Metropolitan,97.76081415666582,151.56803067536046,658.4514281485227,667.5895358637682
1,594.95996,841.91998,Roads,153.33570111866777,179.25409784279316,658.4514281485227,667.5895358637682
1,594.95996,841.91998,Delivery,128.05249632934246,150.1401762790379,681.8043700874833,687.3887692468
1,594.95996,841.91998,2026,180.64421000302096,195.02193802321582,680.7890247857894,686.3734239451061
1,594.95996,841.91998,2027,258.4133142046415,272.6008236208634,680.7890247857894,686.3734239451061
1,594.95996,841.91998,2028,361.85161681471203,376.288679078348,680.7890247857894,686.3734239451061
1,594.95996,841.91998,2029,465.4564969749785,479.8256738836186,680.7890247857894,686.3734239451061
1,594.95996,841.91998,2030,543.0986830138872,557.5223011352873,680.7890247857894,686.3734239451061
1,594.95996,841.91998,Project,21.322251335572822,40.592594642284254,686.3734239451061,691.9578231044228
1,594.95996,841.91998,$,102.70059332767178,106.44510762624792,686.3734239451061,691.9578231044228
1,594.95996,841.91998,type,133.05782883292358,145.134779430901,690.9424778027288,696.5268769620455
1,594.95996,841.91998,Q3,171.64888522082617,178.64373975749797,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q4,197.03251776317478,204.01785343726243,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q1,224.12161057859916,229.98229263837126,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q2,249.27520648939597,256.09721434631086,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q3,274.8333515054732,281.82820604214504,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q4,300.4708203732453,307.4561560473329,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q1,327.68683135138144,333.54751341115355,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q2,352.84042726217825,359.6624351190931,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q3,378.39857227825553,385.3934268149273,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q4,404.0360411460276,411.0213768201152,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q1,431.25205212416375,437.1127341839358,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q2,456.40564803496056,463.2276558918754,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q3,481.9637930510378,488.9586475877096,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q4,507.6012619188099,514.5865975928975,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q1,534.6903547342342,540.5510367940063,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Q2,559.5901143196077,566.4121221765225,692.4654957552698,697.5422222637395
1,594.95996,841.91998,Bells,26.398977844042545,42.540570954655486,735.6176710772625,742.72508818912
1,594.95996,841.91998,Line,43.917627239440414,57.60873169433637,735.6176710772625,742.72508818912
1,594.95996,841.91998,of,58.89694504578919,65.47729200587678,735.6176710772625,742.72508818912
1,594.95996,841.91998,Road,66.88543789204114,83.39928286200254,735.6176710772625,742.72508818912
1,594.95996,841.91998,July,513.1935909249328,525.6557653835494,735.6176710772625,742.72508818912
1,594.95996,841.91998,2026,527.0328220656681,544.1412496999836,735.6176710772625,742.72508818912
1,594.95996,841.91998,Data,545.5494027277924,560.6664166946919,735.6176710772625,742.72508818912
1,594.95996,841.91998,Set,562.0745673581433,573.2971780243953,735.6176710772625,742.72508818912
1,594.95996,841.91998,Bells,21.322251335572822,35.15793021239066,761.001303619611,767.0933754297747
1,594.95996,841.91998,Line,36.338271894654504,48.073503218452764,761.001303619611,767.0933754297747
1,594.95996,841.91998,of,49.17769718740026,54.818002320142746,761.001303619611,767.0933754297747
1,594.95996,841.91998,Road,56.02499552478015,70.17974749642134,761.001303619611,767.0933754297747
1,594.95996,841.91998,$$,100.82855042767358,108.31757656513471,765.0626848263868,770.6470839857035
1,594.95996,841.91998,TBA,133.60516594798122,144.59874544887325,765.0626848263868,770.6470839857035
1,594.95996,841.91998,Safety,21.322251335572822,39.54897658223383,768.6163933823156,774.7084651924793
