timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
TLS-0206,TFNSW-0114,Parramatta to Sydney Foreshore link,Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0207,TFNSW-0115,Princes Hwy/Waratah St Intrs-Kirrawee,Minor Projects,$,TBA,Construction procurement,Confirmed,Q4 2026,Q1 2027,1,2,#DD0030,9,curve,188.34655375222655,238.09847353522983
TLS-0208,TFNSW-0115,Princes Hwy/Waratah St Intrs-Kirrawee,Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q2 2027,Q1 2029,3,10,#173077,9,curve,240.1291603946179,445.22891133679457
TLS-0209,TFNSW-0116,Safety Barrier Program,Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0210,TFNSW-0117,Shellharbour Hospital Shared User Path,Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0211,TFNSW-0118,Strategic Cycleway Corridors,Minor Projects,$,TBA,Detailed or reference design,To be confirmed,Q3 2026,Q2 2029,0,11,#D0DDAD,9,curve,163.21675993530138,471.37405899941336
TLS-0212,TFNSW-0119,Sutherland to Cronulla Active Transport Link (Stage 2B West),Minor Projects,$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2027,0,3,#20A8E1,9,curve,163.21675993530138,264.2436174538488
TLS-0213,TFNSW-0119,Sutherland to Cronulla Active Transport Link (Stage 2B West),Minor Projects,$,TBA,Detailed or reference design procurement,Confirmed,Q3 2027,Q3 2027,4,4,#EC7C0E,9,curve,266.7819708200841,290.1349127590448
TLS-0214,TFNSW-0119,Sutherland to Cronulla Active Transport Link (Stage 2B West),Minor Projects,$,TBA,Detailed or reference design,Confirmed,Q4 2027,Q2 2028,5,7,#7BAE27,9,curve,292.6732873412792,367.80883966663106
TLS-0215,TFNSW-0119,Sutherland to Cronulla Active Transport Link (Stage 2B West),Minor Projects,$,TBA,Construction procurement,Confirmed,Q3 2028,Q4 2028,8,9,#DD0030,9,curve,369.58568780059574,419.337607583599
TLS-0216,TFNSW-0119,Sutherland to Cronulla Active Transport Link (Stage 2B West),Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q1 2029,Q2 2029,10,11,#173077,9,curve,421.368294442987,471.12021422599025
TLS-0217,TFNSW-0120,Sutherland to Cronulla Active Transport Link (Stage 3),Minor Projects,$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2027,0,3,#20A8E1,9,curve,163.21675993530138,264.2436174538488
TLS-0218,TFNSW-0120,Sutherland to Cronulla Active Transport Link (Stage 3),Minor Projects,$,TBA,Detailed or reference design procurement,Confirmed,Q3 2027,Q3 2027,4,4,#EC7C0E,9,curve,266.7819708200841,290.1349127590448
TLS-0219,TFNSW-0120,Sutherland to Cronulla Active Transport Link (Stage 3),Minor Projects,$,TBA,Detailed or reference design,Confirmed,Q4 2027,Q2 2028,5,7,#7BAE27,9,curve,292.6732873412792,367.80883966663106
TLS-0220,TFNSW-0120,Sutherland to Cronulla Active Transport Link (Stage 3),Minor Projects,$,TBA,Construction procurement,Confirmed,Q3 2028,Q4 2028,8,9,#DD0030,9,curve,369.58568780059574,419.337607583599
TLS-0221,TFNSW-0120,Sutherland to Cronulla Active Transport Link (Stage 3),Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q1 2029,Q2 2029,10,11,#173077,9,curve,421.368294442987,471.12021422599025
TLS-0222,TFNSW-0121,Sydney Park Junction,Minor Projects,$,TBA,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,9,curve,162.4552516310309,212.20717141403415
TLS-0223,TFNSW-0121,Sydney Park Junction,Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q1 2027,Q4 2028,2,9,#173077,9,curve,214.2378414734229,419.3375924155996
TLS-0224,TFNSW-0122,Thurgoona Drive Intersection Upgrade,Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0225,TFNSW-0123,"WSRB, Package 4; Bradfield Layover",Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
