timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
TLS-0059,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2027,0,3,#20A8E1,3,curve,163.21675993530138,264.2436174538488
TLS-0060,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Project staging not yet available,Not available,Q3 2027,Q1 2028,4,6,#C3AAD2,3,curve,266.5281344946606,342.17135947085944
TLS-0061,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Construction procurement,To be confirmed,Q2 2028,Q4 2028,7,9,#F3AEA3,3,curve,344.45589158367056,419.5914439090224
TLS-0062,TFNSW-0030,"Newell Highway, improve flood mitigation between West Wyalong and Forbes - July November",Regional NSW major road and bridge upgrades,$$$,TBA,Construction and commissioning,To be confirmed,Q1 2029,Q2 2030,10,15,#9C9DC5,3,curve,421.368294442987,574.6854349987725
TLS-0063,TFNSW-0031,"Olympic Highway, Harris Gates grade separation for Inland Rail",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0064,TFNSW-0032,"Pacific Highway, Harrington Road / Coopernook Road interchange",Regional NSW major road and bridge upgrades,$$,CO,Construction procurement,Confirmed,Q3 2026,Q3 2027,0,4,#DD0030,3,curve,162.4552516310309,289.8810869936209
TLS-0065,TFNSW-0032,"Pacific Highway, Harrington Road / Coopernook Road interchange",Regional NSW major road and bridge upgrades,$$,CO,Construction and commissioning,Confirmed,Q4 2027,Q1 2029,5,10,#173077,3,curve,291.9117646370093,445.22890519279485
TLS-0066,TFNSW-0033,"Pacific Highway, Raymond Terrace to Karuah intersection improvements",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0067,TFNSW-0034,Picton Bypass,Regional NSW major road and bridge upgrades,$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2027,0,3,#20A8E1,3,curve,163.21675993530138,264.2436174538488
TLS-0068,TFNSW-0034,Picton Bypass,Regional NSW major road and bridge upgrades,$$$$$,TBA,Project staging not yet available,Not available,Q3 2027,Q2 2030,4,15,#C3AAD2,3,curve,266.5281344946606,575.1931062096196
TLS-0069,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,Regional NSW major road and bridge upgrades,$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2028,0,9,#C3AAD2,3,curve,162.9629236098779,419.8452849384458
TLS-0070,TFNSW-0036,Regional Corridors Upgrade Program – Muswellbrook to Armidale,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2027,0,2,#C3AAD2,3,curve,162.9629236098779,238.6061485860767
TLS-0071,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,Regional NSW major road and bridge upgrades,$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2027,0,5,#C3AAD2,3,curve,162.9629236098779,316.2800641656635
TLS-0072,TFNSW-0038,"Sheahan Bridge Upgrade Northbound, Gundagai",Regional NSW major road and bridge upgrades,TBA,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2027,0,5,#20A8E1,3,curve,163.21675993530138,316.0262278402399
TLS-0073,TFNSW-0038,"Sheahan Bridge Upgrade Northbound, Gundagai",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q1 2028,Q2 2030,6,15,#C3AAD2,3,curve,318.31073873705196,575.1931000656198
TLS-0074,TFNSW-0039,Shellharbour Hospital access,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0075,TFNSW-0040,Wagga Wagga Freight Bypass,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2029,0,11,#C3AAD2,3,curve,162.9629236098779,471.6278953248369
TLS-0076,TFNSW-0041,Safe Accessible Transport,Accessibility,$$$$$,Various,Rolling program,Confirmed,Q3 2026,Q1 2029,0,10,#33383D,4,curve,163.21675993530138,445.48275380621783
TLS-0077,TFNSW-0042,Woollahra Station Activation,Accessibility,$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2029,0,11,#C3AAD2,4,curve,162.9629236098779,471.6278953248369
TLS-0078,TFNSW-0043,Central Precinct Renewal Program - Main Works,Eastern Harbour City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,4,curve,162.9629236098779,445.73659013164126
TLS-0079,TFNSW-0044,Circular Quay Renewal,Eastern Harbour City,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,4,curve,162.9629236098779,445.73659013164126
TLS-0080,TFNSW-0045,Bus Service Improvement Program,Buses,$$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q3 2029,0,12,#C3AAD2,4,curve,162.9629236098779,497.5192005180325
TLS-0081,TFNSW-0046,Macquarie Park Precinct and Bus Interchange,Buses,$$$,CO,Construction procurement,To be confirmed,Q3 2026,Q4 2026,0,1,#F3AEA3,4,curve,163.21675993530138,212.46100706745767
TLS-0082,TFNSW-0046,Macquarie Park Precinct and Bus Interchange,Buses,$$$,CO,Construction and commissioning,To be confirmed,Q1 2027,Q4 2029,2,13,#9C9DC5,4,curve,214.2378414734229,522.9028131883819
TLS-0083,TFNSW-0047,New Bus Services for Western Sydney,Buses,$$$$,Various,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,4,curve,163.21675993530138,212.46100706745767
TLS-0084,TFNSW-0047,New Bus Services for Western Sydney,Buses,$$$$,Various,Construction procurement,Confirmed,Q1 2027,Q2 2027,2,3,#DD0030,4,curve,214.2378414734229,263.98976125642616
TLS-0085,TFNSW-0047,New Bus Services for Western Sydney,Buses,$$$$,Various,Construction and commissioning,Confirmed,Q3 2027,Q2 2028,4,7,#173077,4,curve,266.020476915813,367.5550070852074
TLS-0086,TFNSW-0048,New Electric Bus Program Tranche 1,Buses,$$$$$$,Various,Rolling program,Confirmed,Q3 2026,Q1 2029,0,10,#33383D,4,curve,163.21675993530138,445.48275380621783
TLS-0087,TFNSW-0049,New Electric Bus Program Tranche 2,Buses,$$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2026,0,0,#20A8E1,4,curve,163.21675993530138,186.56970187426208
TLS-0088,TFNSW-0049,New Electric Bus Program Tranche 2,Buses,$$$$$$,TBA,Project staging not yet available,Not available,Q4 2026,Q1 2029,1,10,#C3AAD2,4,curve,188.8542257310736,445.7365870596414
TLS-0089,TFNSW-0050,Sydney Fish Markets Ferry Wharf,Eastern Harbour City,$,MC,Detailed or reference design,Confirmed,Q3 2026,Q3 2026,0,0,#7BAE27,4,curve,163.21675993530138,186.56970187426208
TLS-0090,TFNSW-0050,Sydney Fish Markets Ferry Wharf,Eastern Harbour City,$,MC,Construction and commissioning,To be confirmed,Q4 2026,Q2 2027,1,3,#9C9DC5,4,curve,188.34655375222655,263.9897787284254
TLS-0091,TFNSW-0051,Parramatta Light Rail Stage 2 Main Works,Light Rail,$$$$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,4,curve,162.4552516310309,212.20717141403415
TLS-0092,TFNSW-0051,Parramatta Light Rail Stage 2 Main Works,Light Rail,$$$$$$,D&C,Construction and commissioning,To be confirmed,Q1 2027,Q2 2030,2,15,#9C9DC5,4,curve,214.2378414734229,574.685423574773
TLS-0093,TFNSW-0052,South West Sydney Rail Extensions Final Business Case,Rail,$$$$$$,TBA,Concept design and/or environmental assessment,To be confirmed,Q3 2026,Q3 2027,0,4,#BFDCF5,5,curve,163.21675993530138,290.1349226470444
TLS-0094,TFNSW-0052,South West Sydney Rail Extensions Final Business Case,Rail,$$$$$$,TBA,Project staging not yet available,Not available,Q4 2027,Q2 2030,5,15,#C3AAD2,5,curve,292.4194510158557,575.1931175376192
TLS-0095,TFNSW-0053,Sydney to Canberra Rail Corridor Upgrade,Rail,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,5,curve,162.9629236098779,575.1931160976192
TLS-0096,TFNSW-0054,Western Sydney Freight Line and Intermodal Terminal - Stage 1 Full Business Case,Rail,$$$$$$,TBA,Concept design and/or environmental assessment,To be confirmed,Q3 2026,Q4 2027,0,5,#BFDCF5,5,curve,163.21675993530138,316.0262278402399
TLS-0097,TFNSW-0054,Western Sydney Freight Line and Intermodal Terminal - Stage 1 Full Business Case,Rail,$$$$$$,TBA,Project staging not yet available,Not available,Q1 2028,Q1 2029,6,10,#C3AAD2,5,curve,318.31073873705196,445.7365740996419
TLS-0098,TFNSW-0055,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,Sydney Metro,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q3 2029,0,12,#C3AAD2,5,curve,162.9629236098779,497.5192005180325
TLS-0099,TFNSW-0056,Sydney Metro West - Parramatta Integrated Station,Sydney Metro West,$$$$$,D&C,Construction and commissioning,Confirmed,Q1 2027,Q3 2029,2,12,#173077,5,curve,214.2378414734229,497.0115079951863
TLS-0100,TFNSW-0057,Sydney Metro West - Pyrmont Integrated Station,Sydney Metro West,$$$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,5,curve,162.4552516310309,212.20717141403415
TLS-0101,TFNSW-0057,Sydney Metro West - Pyrmont Integrated Station,Sydney Metro West,$$$$$,D&C,Construction and commissioning,Confirmed,Q2 2027,Q3 2029,3,12,#173077,5,curve,240.1291603946179,497.01152172318575
TLS-0102,TFNSW-0058,Sydney Metro West - Sydney Olympic Park Integrated Station,Sydney Metro West,$$$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q3 2026,0,0,#DD0030,5,curve,162.4552516310309,186.3158662208386
TLS-0103,TFNSW-0058,Sydney Metro West - Sydney Olympic Park Integrated Station,Sydney Metro West,$$$$$,D&C,Construction and commissioning,Confirmed,Q2 2027,Q3 2029,3,12,#173077,5,curve,240.1291603946179,497.01152172318575
TLS-0104,TFNSW-0059,Appin Road Safety Improvements,Central River City,$$$,CO,Construction procurement,To be confirmed,Q3 2026,Q4 2026,0,1,#F3AEA3,5,curve,163.21675993530138,212.46100706745767
TLS-0105,TFNSW-0059,Appin Road Safety Improvements,Central River City,$$$,CO,Construction and commissioning,To be confirmed,Q1 2027,Q2 2029,2,11,#9C9DC5,5,curve,214.2378414734229,471.1202028019907
TLS-0106,TFNSW-0060,Appin Town Centre By- Pass,Central River City,$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2027,0,5,#20A8E1,5,curve,163.21675993530138,316.0262278402399
TLS-0107,TFNSW-0060,Appin Town Centre By- Pass,Central River City,$$$$,TBA,Project staging not yet available,Not available,Q1 2028,Q2 2030,6,15,#C3AAD2,5,curve,318.31073873705196,575.1931000656198
TLS-0108,TFNSW-0061,Australia Avenue intersection upgrade,Central River City,$$$,D&C,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,5,curve,162.4552516310309,212.20717141403415
TLS-0109,TFNSW-0061,Australia Avenue intersection upgrade,Central River City,$$$,D&C,Construction and commissioning,Confirmed,Q1 2027,Q1 2029,2,10,#173077,5,curve,214.2378414734229,445.22889760879514
TLS-0110,TFNSW-0062,Henry Lawson Drive Stage 1B,Central River City,$$$,CO,Construction procurement,Confirmed,Q3 2026,Q3 2026,0,0,#DD0030,5,curve,162.4552516310309,186.3158662208386
TLS-0111,TFNSW-0062,Henry Lawson Drive Stage 1B,Central River City,$$$,CO,Construction and commissioning,Confirmed,Q4 2026,Q1 2029,1,10,#173077,5,curve,188.34655375222655,445.2289150807944
TLS-0112,TFNSW-0063,Hume Motorway,Central River City,$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,5,curve,163.21675993530138,367.8088382266311
TLS-0113,TFNSW-0063,Hume Motorway,Central River City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2028,Q2 2030,8,15,#C3AAD2,5,curve,370.0933741794421,575.1931251216188
TLS-0114,TFNSW-0064,James Ruse Drive/Hassall Street,Central River City,$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,5,curve,162.9629236098779,445.73659013164126
TLS-0115,TFNSW-0065,Menangle Road,Central River City,$$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,5,curve,163.21675993530138,367.8088382266311
TLS-0116,TFNSW-0065,Menangle Road,Central River City,$$$$$$,TBA,Project staging not yet available,Not available,Q3 2028,Q2 2030,8,15,#C3AAD2,5,curve,370.0933741794421,575.1931251216188
TLS-0117,TFNSW-0066,Spring Farm Parkway Stage 2,Central River City,$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q1 2028,0,6,#20A8E1,5,curve,163.21675993530138,341.9175330334355
TLS-0118,TFNSW-0066,Spring Farm Parkway Stage 2,Central River City,$$$$$,TBA,Project staging not yet available,Not available,Q2 2028,Q2 2030,7,15,#C3AAD2,5,curve,344.20205525824707,575.1931113936193
TLS-0119,TFNSW-0067,Stacey Street Upgrade,Central River City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2028,0,9,#C3AAD2,5,curve,162.9629236098779,419.8452849384458
TLS-0120,TFNSW-0068,Extend northbound overtaking lane on the approach to New Illawarra Road by approx 800m,Eastern Harbour City,$$$,CD&C,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,6,curve,162.4552516310309,212.20717141403415
TLS-0121,TFNSW-0068,Extend northbound overtaking lane on the approach to New Illawarra Road by approx 800m,Eastern Harbour City,$$$,CD&C,Construction and commissioning,Confirmed,Q1 2027,Q2 2028,2,7,#173077,6,curve,214.2378414734229,367.5549820292084
TLS-0122,TFNSW-0069,Glebe Island Bridge,Eastern Harbour City,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q4 2027,0,5,#20A8E1,6,curve,163.21675993530138,316.0262278402399
TLS-0123,TFNSW-0069,Glebe Island Bridge,Eastern Harbour City,$$$,TBA,Project staging not yet available,Not available,Q1 2028,Q2 2030,6,15,#C3AAD2,6,curve,318.31073873705196,575.1931000656198
TLS-0124,TFNSW-0070,"Heathcote Road, The Avenue to Princes Highway",Eastern Harbour City,$$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q1 2027,0,2,#20A8E1,6,curve,163.21675993530138,238.35231226065324
TLS-0125,TFNSW-0070,"Heathcote Road, The Avenue to Princes Highway",Eastern Harbour City,$$$$$$,TBA,Project staging not yet available,Not available,Q2 2027,Q2 2029,3,11,#C3AAD2,6,curve,240.636829973465,471.6278861088373
TLS-0126,TFNSW-0071,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",Eastern Harbour City,$$$$,D&C,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,6,curve,163.21675993530138,212.46100706745767
TLS-0127,TFNSW-0071,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",Eastern Harbour City,$$$$,D&C,Construction procurement,To be confirmed,Q1 2027,Q2 2027,2,3,#F3AEA3,6,curve,214.99936417769277,264.24361130984903
TLS-0128,TFNSW-0071,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",Eastern Harbour City,$$$$,D&C,Construction and commissioning,To be confirmed,Q3 2027,Q2 2030,4,15,#9C9DC5,6,curve,266.020476915813,574.685448630772
TLS-0129,TFNSW-0072,Airport Precinct Safety and Access Program (APSAP),Western Parkland City,TBA,TBA,Construction procurement,Confirmed,Q3 2026,Q3 2026,0,0,#DD0030,7,curve,162.4552516310309,186.3158662208386
TLS-0130,TFNSW-0072,Airport Precinct Safety and Access Program (APSAP),Western Parkland City,TBA,TBA,Construction and commissioning,Confirmed,Q4 2026,Q3 2027,1,4,#173077,7,curve,188.34655375222655,289.881083921621
TLS-0131,TFNSW-0073,Appin Road and St Johns Road Intersection Upgrade,Western Parkland City,$,CO,Construction procurement,To be confirmed,Q3 2026,Q4 2026,0,1,#F3AEA3,7,curve,163.21675993530138,212.46100706745767
TLS-0132,TFNSW-0073,Appin Road and St Johns Road Intersection Upgrade,Western Parkland City,$,CO,Construction and commissioning,To be confirmed,Q2 2027,Q4 2028,3,9,#9C9DC5,7,curve,240.1291603946179,419.33760614359903
TLS-0133,TFNSW-0074,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",Western Parkland City,$$$$$,TBA,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,7,curve,162.4552516310309,212.20717141403415
TLS-0134,TFNSW-0074,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",Western Parkland City,$$$$$,TBA,Construction and commissioning,To be confirmed,Q1 2027,Q2 2030,2,15,#9C9DC5,7,curve,214.2378414734229,574.685423574773
TLS-0135,TFNSW-0075,Bradfield Metro Link Road - Badgerys Creek Road to Proposed Eastern Ring Road,Western Parkland City,$$$$$,CD&C,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,7,curve,163.21675993530138,367.8088382266311
TLS-0136,TFNSW-0076,Burdekin Road and Townson Road Upgrade,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0137,TFNSW-0077,Cambridge Avenue upgrade,Western Parkland City,$$$$,CD&C,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0138,TFNSW-0078,Camden Valley Way,Western Parkland City,$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,7,curve,163.21675993530138,367.8088382266311
TLS-0139,TFNSW-0078,Camden Valley Way,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2028,Q2 2030,8,15,#C3AAD2,7,curve,370.0933741794421,575.1931251216188
TLS-0140,TFNSW-0079,Campbelltown Road,Western Parkland City,$$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,7,curve,163.21675993530138,367.8088382266311
TLS-0141,TFNSW-0079,Campbelltown Road,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2028,Q2 2030,8,15,#C3AAD2,7,curve,370.0933741794421,575.1931251216188
TLS-0142,TFNSW-0080,Cowpasture Road,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,7,curve,162.9629236098779,445.73659013164126
TLS-0143,TFNSW-0081,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,7,curve,162.9629236098779,445.73659013164126
TLS-0144,TFNSW-0082,Devonshire Road - Elizabeth Drive to Bringelly Road,Western Parkland City,TBA,CD&C,Project staging not yet available,Not available,Q3 2026,Q3 2029,0,12,#C3AAD2,7,curve,162.9629236098779,497.5192005180325
TLS-0145,TFNSW-0083,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,Western Parkland City,$$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0146,TFNSW-0084,"Elizabeth Drive upgrade- Stage 1, Devonshire Road to Badgerys Creek",Western Parkland City,$$$$,CD&C,Construction procurement,Confirmed,Q3 2026,Q3 2026,0,0,#DD0030,7,curve,162.4552516310309,186.3158662208386
TLS-0147,TFNSW-0084,"Elizabeth Drive upgrade- Stage 1, Devonshire Road to Badgerys Creek",Western Parkland City,$$$$,CD&C,Construction and commissioning,Confirmed,Q4 2026,Q2 2029,1,11,#173077,7,curve,188.34655375222655,471.1202202739899
TLS-0148,TFNSW-0085,Fifteenth Avenue Upgrade,Western Parkland City,$$$$$,CD&C,Construction procurement,Confirmed,Q3 2026,Q4 2026,0,1,#DD0030,7,curve,162.4552516310309,212.20717141403415
TLS-0149,TFNSW-0085,Fifteenth Avenue Upgrade,Western Parkland City,$$$$$,CD&C,Construction and commissioning,Confirmed,Q1 2027,Q2 2030,2,15,#173077,7,curve,214.2378414734229,574.685423574773
TLS-0150,TFNSW-0086,Garfield Road Central,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0151,TFNSW-0087,Garfield Road Upgrade East,Western Parkland City,$$$$,CD&C,Construction procurement,Confirmed,Q3 2026,Q3 2026,0,0,#DD0030,7,curve,162.4552516310309,186.3158662208386
TLS-0152,TFNSW-0087,Garfield Road Upgrade East,Western Parkland City,$$$$,CD&C,Construction and commissioning,Confirmed,Q4 2026,Q2 2029,1,11,#173077,7,curve,188.34655375222655,471.1202202739899
TLS-0153,TFNSW-0088,Garfield Road Upgrade West,Western Parkland City,$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0154,TFNSW-0089,"Great Western Hwy and Parker St Intersection upgrade, Penrith",Western Parkland City,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0155,TFNSW-0090,Hawkesbury-Nepean Valley Road Resilience Program,Western Parkland City,$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,7,curve,162.9629236098779,575.1931160976192
TLS-0156,TFNSW-0091,Mamre Road Upgrade - Stage 2,Western Parkland City,$$$$,CD&C,Construction procurement,Confirmed,Q3 2026,Q3 2026,0,0,#DD0030,7,curve,162.4552516310309,186.3158662208386
TLS-0157,TFNSW-0091,Mamre Road Upgrade - Stage 2,Western Parkland City,$$$$,CD&C,Construction and commissioning,Confirmed,Q4 2026,Q3 2029,1,12,#173077,7,curve,188.34655375222655,497.0115254671856
TLS-0158,TFNSW-0092,Mulgoa Road Upgrade Stage 5a & 5b,Western Parkland City,$$$,CD&C,Construction procurement,To be confirmed,Q1 2028,Q4 2028,6,9,#F3AEA3,7,curve,318.56457506247546,419.5914325810229
TLS-0159,TFNSW-0092,Mulgoa Road Upgrade Stage 5a & 5b,Western Parkland City,$$$,CD&C,Construction and commissioning,To be confirmed,Q4 2029,Q2 2030,13,15,#9C9DC5,7,curve,499.042251206572,574.6854761827708
