project_id,project_name,sector,pipeline_category,estimated_value_code,estimated_value_band,value_minimum_aud_m,value_maximum_aud_m,procurement_strategy_code,procurement_strategy_name,current_phase,current_phase_definition,procurement_start_period,procurement_end_period,construction_start_period,construction_end_period,project_url
PRJ-0035,Gosford Bypass,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/gosford-bypass
PRJ-0036,"Great Western Hwy and Parker St Intersection upgrade, Penrith",Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0037,Hawkesbury-Nepean Valley Road Resilience Program,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/flood-resilience-program/index.html
PRJ-0038,"Heathcote Road, The Avenue to Princes Highway",Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/heathcote-road-upgrade/index.html
PRJ-0039,Henry Lawson Drive Stage 1B,Transport,Pipeline,$$,$100M to $250M,100.0,250.0,CO,Construct Only,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q1 2029,https://www.transport.nsw.gov.au/projects/current-projects/henry-lawson-drive-upgrade-stage-1b
PRJ-0040,Hume Motorway,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
PRJ-0041,James Ruse Drive/Hassall Street,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0042,Jervis Bay Road to Hawken Road,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/princes-highway/jervis-bay-road-to-sussex-inlet-upgrade.html
PRJ-0043,"John Renshaw Drive upgrade, Black Hill",Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://investment.infrastructure.gov.au/projects/117864-21nsw-np
PRJ-0044,M1 Pacific Motorway Upgrade between Wahroonga and Beresfield,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0045,Macquarie Park Precinct and Bus Interchange,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/macquarie-park-precinct-and-bus-interchange
PRJ-0046,Maitland Westbound Overpass,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0047,Mamre Road Upgrade - Stage 2,Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,CD&C,Collaborative Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q3 2029,https://www.transport.nsw.gov.au/projects/current-projects/mamre-road-upgrade-%E2%80%93-between-erskine-park-road-erskine-park-and-kerrs
PRJ-0048,"Mandalong Road upgrade, Morisset",Transport,Pipeline,$,$50M to $100M,50.0,100.0,CO,Construct Only,Design,Preparation and approval of project design,Q1 2027,Q2 2027,Q3 2027,Q1 2030,https://www.transport.nsw.gov.au/projects/current-projects/mandalong-road-upgrade-morisset
PRJ-0049,"Manns Road Upgrade, Stockyard Place to Narara Creek Road priority intersection upgrades",Transport,In Planning,$,$50M to $100M,50.0,100.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/west-gosford-to-narara/index.html
PRJ-0050,Menangle Road,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/menangle-road-upgrade
PRJ-0051,Milton/Ulladulla Bypass,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/milton-ulladulla-bypass/index.html
PRJ-0052,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,D&C,Design and Construct,Design,Preparation and approval of project design,Q1 2027,Q2 2027,Q3 2027,Q2 2030,https://roads-waterways.transport.nsw.gov.au/projects/mona-vale-road/mvrwest/index.html
PRJ-0053,Mount Ousley Safety and Reliability,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/mount-ousley-safety-and-reliability-improvements
PRJ-0054,Mulgoa Road Upgrade Stage 5a & 5b,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0055,Muswellbrook Bypass,Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q2 2027,Q3 2027,Q2 2031,https://roads-waterways.transport.nsw.gov.au/projects/new-england-highway/muswellbrook-bypass.html
PRJ-0056,Narooma Bridge,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0057,Nelson Bay Road Improvements,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/nelson-bay-road/index.html
PRJ-0058,Nepean River to Almond Street,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/picton-road-projects/picton-road-upgrade/index.html
PRJ-0059,New Bus Services for Western Sydney,Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,Various,Various,Design,Preparation and approval of project design,Q1 2027,Q2 2027,Q3 2027,Q2 2028,https://www.transport.nsw.gov.au/projects/current-projects/new-bus-services-for-western-sydney
PRJ-0060,New Electric Bus Program,Transport,Pipeline,$$$$$,Over $1B,1000.0,,CO,Construct Only,Rolling Program,Rolling program with ongoing procurement and delivery,Ongoing,Ongoing,Ongoing,Ongoing,https://www.transport.nsw.gov.au/projects/current-projects/zero-emission-buses
PRJ-0061,New Electric Bus Program - Tranche 2,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0062,Newcastle Link Road/Minmi Road intersection upgrade,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0063,"Newell Highway, Tichborne grade separation for Inland Rail",Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/tichborne-grade-separation
PRJ-0064,"Newell Highway, improve flood mitigation between West Wyalong and Forbes",Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/newell-highway/west-wyalong-flood-immunity.html
PRJ-0065,Nowra Bypass,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/nowra-bypass-and-transport-improvements
PRJ-0066,"Olympic Highway, Harris Gates grade separation for Inland Rail",Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/harris-gates-grade-separation
PRJ-0067,Oxford Street Revitalisation (previously Oxford Street East Cycleway),Transport,Pipeline,$,$50M to $100M,50.0,100.0,TBA,To be advised,Design,Preparation and approval of project design,Q4 2028,Q2 2029,Q3 2029,Q4 2030,https://www.transport.nsw.gov.au/projects/current-projects/oxford-street-east-cycleway
PRJ-0068,"Pacific Highway, Harrington Road / Coopernook Road interchange",Transport,Pipeline,$,$50M to $100M,50.0,100.0,CO,Construct Only,Construction Procurement,"Preparation, approval and release of procurement documents",Q3 2026,Q3 2027,Q4 2027,Q1 2029,https://www.transport.nsw.gov.au/projects/current-projects/pacific-highway-harrington-road-interchange
PRJ-0069,"Pacific Highway, Raymond Terrace to Karuah intersection improvements",Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0070,"Pacific Highway, Wyong Town Centre",Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,CD&C,Collaborative Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q1 2027,Q2 2027,Q4 2031,https://roads-waterways.transport.nsw.gov.au/projects/pacific-highway/wyong-town-centre-upgrade/index.html
PRJ-0071,Parramatta Light Rail Stage 2 Main Works,Transport,Pipeline,$$$$$,Over $1B,1000.0,,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q4 2026,Q1 2027,Q4 2035,https://www.nsw.gov.au/driving-boating-and-transport/projects/parramatta-light-rail/stage-2
PRJ-0072,Picton Bypass,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/picton-bypass
PRJ-0073,Regional Corridors Upgrade Program – Euston to Tocumwal,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0074,Regional Corridors Upgrade Program – Muswellbrook to Armidale,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0075,Regional Corridors Upgrade Program – Newcastle to Dubbo,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0076,Regional Overnight Sleeper Services,Transport,In Planning,$,$50M to $100M,50.0,100.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0077,Richmond Road Corridor upgrade,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/north-west-growth-area
PRJ-0078,Safe Accessible Transport,Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,Various,Various,Rolling Program,Rolling program with ongoing procurement and delivery,Ongoing,Ongoing,Ongoing,Ongoing,https://www.transport.nsw.gov.au/projects/programs/safe-accessible-transport-program
PRJ-0079,"Sheahan Bridge Upgrade Northbound, Gundagai",Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/sheahan-bridge-upgrade
PRJ-0080,Shellharbour Hospital access,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0081,South West Sydney Rail Extensions Final Business Case,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0082,Spring Farm Parkway Stage 2,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/spring-farm-parkway-menangle-stage-2
PRJ-0083,Stacey Street upgrade,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/stacey-st-and-hume-highway-bankstown-upgrade
PRJ-0084,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.sydneymetro.info/planning-future-extensions
PRJ-0085,Sydney Metro West - Parramatta Integrated Station,Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q3 2024,Q2 2026,Q1 2027,Q3 2029,https://www.sydneymetro.info/station/parramatta-metro-station
PRJ-0086,Sydney Metro West - Pyrmont Integrated Station,Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q4 2026,Q2 2027,Q3 2029,https://www.sydneymetro.info/station/pyrmont-station
PRJ-0087,Sydney Metro West - Sydney Olympic Park Integrated Station,Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q2 2027,Q3 2029,https://www.sydneymetro.info/station/sydney-olympic-park-metro-station
PRJ-0088,Sydney to Canberra Rail Corridor Upgrade,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0089,Terrigal Drive Upgrade,Transport,In Planning,$,$50M to $100M,50.0,100.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0090,"The Horsley Drive, M7 Motorway to Cowpasture Road",Transport,Pipeline,$$,$100M to $250M,100.0,250.0,CO,Construct Only,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q3 2028,https://roads-waterways.transport.nsw.gov.au/projects/the-horsley-drive-upgrade/index.html
PRJ-0091,"The Northern Road Upgrade, Borrowdale Way to Londonderry Road",Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/northern-road-upgrade-between-borrowdale-way-jordan-springs-to
PRJ-0092,Thornton bridge duplication,Transport,In Planning,$,$50M to $100M,50.0,100.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0093,Wagga Wagga Freight Bypass,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0094,Werrington Arterial Stage 2,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/news-and-events/media-releases/3-million-to-start-planning-werrington-arterial-stage-2
PRJ-0095,Western Sydney Freight Line and Intermodal Terminal  - Stage 1 Full Business Case,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/corridors/wsfl
PRJ-0096,Western Sydney Heavy Vehicle Rest Area,Transport,Pipeline,$,$50M to $100M,50.0,100.0,TBA,To be advised,Design,Preparation and approval of project design,Q1 2027,Q3 2027,Q4 2027,Q3 2028,https://www.transport.nsw.gov.au/operations/freight-hub/heavy-vehicle-rest-stopping-improvements
PRJ-0097,Windsor Road Upgrade at Rouse Hill,Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,CD&C,Collaborative Design and Construct,Design,Preparation and approval of project design,Q4 2026,Q3 2027,Q4 2027,Q4 2029,https://www.transport.nsw.gov.au/
PRJ-0098,Woollahra Station Activation,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/woollahra-station-activation
